source_id,title,concept_name,content,pm_relevance,use_cases,risks_or_misunderstandings,ai_topic,product_topic,difficulty,source_name,source_url,reliability,notes
llm_001,LLM 是什么,LLM,LLM（Large Language Model，大语言模型）是基于大规模语料训练的生成式模型，能够理解和生成自然语言，并可扩展到代码、结构化数据、多模态输入输出等任务。产品中通常通过 API 或平台能力调用 LLM，让其完成问答、摘要、分类、改写、推理、内容生成、代码辅助等任务。,AI 产品经理需要理解 LLM 的能力边界、输入输出机制、成本、延迟和适用场景，才能判断一个需求是适合用规则、传统搜索、RAG、Workflow 还是 Agent 来解决，而不是把所有问题都简单交给模型。,智能客服、知识库问答、文档摘要、Sales Copilot、AI 写作、需求分析助手、代码助手、Agent 执行器、数据分析助手。,常见误区是把 LLM 当成“万能数据库”或“确定性规则引擎”。LLM 的输出具有概率性，可能过时、编造、理解偏差或不稳定；产品设计中需要通过检索、约束、评估、兜底和人工反馈控制风险。,LLM,AI产品基础,入门,OpenAI API Docs - Prompt engineering,https://developers.openai.com/api/docs/guides/prompt-engineering,high,基础概念，可与模型能力边界、Prompt、RAG、Agent联动。
llm_002,Token 与成本,Token,Token 是大模型处理文本的基本计量单位，输入文本和输出文本都会被切分为 token。模型调用通常按输入 token、输出 token、缓存 token 或工具调用等维度计费；token 数量也会影响上下文占用、响应速度和系统负载。,AI 产品经理需要理解 token，因为它直接影响产品成本控制、套餐定价、长文本处理、上下文保留策略、RAG 检索片段数量、用户体验和商业化毛利。,长文档问答、RAG 检索结果拼接、聊天历史保留、AI Copilot、企业知识库问答、客服多轮对话、内容生成工具。,误区是只关注模型效果而忽视 token 成本，导致上线后费用过高；另一个误区是认为上下文越长越好，实际长上下文会增加成本、延迟和噪声，可能降低有效注意力。,LLM,"成本控制,产品约束",入门,OpenAI API Docs - Pricing,https://developers.openai.com/api/docs/pricing,high,成本相关信息会随模型价格变化，后续需要定期更新。
llm_003,上下文窗口 Context Window,Context Window,上下文窗口指模型一次请求中可接收和处理的最大输入输出信息范围，通常以 token 计。它决定了用户问题、系统提示词、历史对话、检索资料、工具结果等能同时放入模型的容量。,AI 产品经理需要理解上下文窗口，因为它影响长文档问答、聊天记忆、RAG chunk 数量、成本、延迟和回答质量。上下文窗口不够时，需要采用摘要、检索、分段处理或外部记忆，而不是简单截断。,长文档解析、企业知识库问答、多轮聊天、Agent任务执行、会议纪要、法律/合同/论文阅读助手。,误区是认为上下文窗口足够大就不需要 RAG。长上下文仍有成本、延迟、噪声、权限和更新问题；RAG 的价值不仅是放更多内容，还包括外部知识更新、来源追踪和检索过滤。,LLM,"产品约束,长文本处理",入门,OpenAI API Docs - Retrieval,https://developers.openai.com/api/docs/guides/retrieval,high,和Token、RAG、Memory一起理解。
llm_004,模型能力边界,模型能力边界,模型能力边界是指 LLM 在知识时效性、事实准确性、复杂推理、长链路执行、数学计算、工具调用、私有数据访问、合规安全等方面存在限制。模型可以增强产品能力，但不等同于真实数据库、搜索引擎、业务系统或人工专家。,AI 产品经理需要把模型能力边界转化为产品机制：哪些任务可以自动完成，哪些需要检索、工具、人工复核、权限控制、失败兜底或质量评估。,AI客服、企业知识库、Agent自动执行、金融/医疗/法律等高风险场景、用户生成内容审核、AI办公助手。,误区是将模型“能回答”误认为“能可靠交付”。产品上线需要定义可接受错误率、适用边界、人工接管路径、日志监控和反馈闭环。,LLM,"风险控制,产品边界",入门,OpenAI API Docs - Safety best practices,https://developers.openai.com/api/docs/guides/safety-best-practices,high,能力边界是AI PM面试和产品方案中的高频主题。
llm_005,模型选型：OpenAI/Claude/Gemini/DeepSeek/Qwen,模型选型,模型选型是指根据业务场景在不同模型之间做取舍，重点比较能力、成本、延迟、上下文窗口、多模态能力、工具调用、结构化输出、稳定性、部署方式、数据合规和生态兼容性。,AI 产品经理不一定要训练模型，但需要能把业务目标翻译成模型选型标准，例如客服场景重视稳定与成本，代码场景重视代码能力，RAG 场景重视长上下文和引用准确性，Agent 场景重视工具调用与执行稳定性。,多模型路由、企业AI平台、客服机器人、AI写作、代码助手、数据分析Agent、国际化产品、本地化私有部署。,误区是只按排行榜或参数规模选模型。实际产品中需要结合场景、成本、延迟、合规、供应商稳定性和可观测性进行综合评估。,LLM,"产品决策,模型选型",中级,OpenAI API Docs - Pricing,https://developers.openai.com/api/docs/pricing,medium,不同厂商模型变化快，本条作为选型方法论，具体型号需后续更新。
llm_006,模型微调 Fine-tuning,Fine-tuning,模型微调是指在预训练模型基础上，用特定数据进一步训练，使模型更适合某类任务、风格、格式或领域。它通常用于稳定输出格式、强化领域表达、提升特定任务表现，而不是替代所有外部知识检索。,AI 产品经理需要知道微调与 Prompt、RAG 的边界：Prompt 适合快速控制行为；RAG 适合引入动态知识；微调适合固化风格、任务模式或领域能力。选错方案会增加成本和维护复杂度。,客服话术风格、行业文本分类、特定格式生成、企业术语表达、专用模型优化、内部流程助手。,误区是把微调当成解决知识更新的首选方案。需要频繁更新的企业文档、岗位资料、政策规则更适合 RAG；微调后的模型仍可能幻觉，也仍需评估。,LLM,"模型优化,RAG边界",中级,OpenAI API Docs - Retrieval,https://developers.openai.com/api/docs/guides/retrieval,medium,建议和RAG、Prompt对比使用。
prompt_001,Prompt Engineering 是什么,Prompt Engineering,Prompt Engineering 是通过设计输入指令、上下文、示例、约束和输出格式，来引导模型生成更符合目标的结果。它不只是“写一句提示词”，还包括模板化、版本管理、测试集评估、异常处理和与业务流程结合。,AI 产品经理需要懂 Prompt，因为它直接影响 AI 功能的可用性、稳定性、可解释性和交互体验。很多 AI 产品的核心不是模型本身，而是围绕模型的任务定义、约束、上下文组织和输出设计。,JD解析、简历优化、面试教练、客服回复、内容生成、数据分析助手、知识库问答、Agent任务规划。,误区是认为 Prompt 是临时文案，不需要产品管理。真实产品中 Prompt 应该可复用、可测试、可版本化，并与检索、工具、权限和评估体系结合。,Prompt,"AI产品设计,输出质量",入门,OpenAI API Docs - Prompt engineering,https://developers.openai.com/api/docs/guides/prompt-engineering,high,AI PM 必懂基础概念。
prompt_002,角色设定 Role Prompt,角色设定,角色设定是 Prompt 中用来指定模型身份、任务边界和回答风格的部分，例如“你是AI产品经理面试教练”或“你是企业知识库问答助手”。它帮助模型聚焦任务，但不能替代事实来源或安全约束。,AI 产品经理可以用角色设定来统一产品语气、场景定位和服务边界，让同一个模型在不同功能入口中呈现不同专业身份。,面试教练、求职顾问、客服助手、销售顾问、学习导师、企业知识库管理员。,误区是以为只要写了角色，模型就会稳定可靠。角色设定需要配合明确任务、输入约束、输出格式、知识来源和失败兜底。,Prompt,"结构化输出,体验设计",入门,OpenAI API Docs - Prompt engineering,https://developers.openai.com/api/docs/guides/prompt-engineering,high,适合放在Prompt模板设计章节。
prompt_003,结构化输出 Prompt,结构化输出,结构化输出是要求模型按固定格式返回结果，例如 JSON、表格、分点列表、字段化分析或固定模板。更强的实现方式可以使用结构化输出能力，通过 JSON Schema 等方式约束模型响应格式。,AI 产品经理需要结构化输出能力，因为很多 AI 产品不是只展示一段文本，而是要把结果写入数据库、生成表单、触发流程、驱动前端组件或服务下一步 Agent。,JD解析字段提取、简历评分、面试题生成、用户画像标签、工单分类、RAG引用列表、Agent执行计划。,误区是只在 Prompt 中写“请输出JSON”就认为足够稳定。生产环境需要考虑字段缺失、枚举错误、嵌套结构、异常解析、schema约束和回退策略。,Prompt,"结构化输出,系统集成",入门,OpenAI API Docs - Structured Outputs,https://developers.openai.com/api/docs/guides/structured-outputs,high,与Function Calling和API集成相关。
prompt_004,Few-shot 示例,Few-shot,Few-shot 是在 Prompt 中提供少量输入-输出示例，让模型模仿示例的格式、风格、判断标准或推理方式。它适合提高任务一致性，尤其是分类、改写、抽取和模板化生成任务。,AI 产品经理可以用 Few-shot 把抽象需求转化为可复用样例，让研发和模型都更清楚“什么是好输出”。它也适合沉淀产品规则和标注标准。,简历 bullet 改写、JD 能力标签提取、客服话术生成、内容审核、面试回答评分、字段抽取。,误区是堆很多示例。示例过多会增加 token 成本和噪声；示例质量不一致会导致模型学到错误模式。需要维护高质量、覆盖关键边界的示例集。,Prompt,"输出质量,样例设计",入门,OpenAI API Docs - Prompt engineering,https://developers.openai.com/api/docs/guides/prompt-engineering,high,可作为Prompt模板优化方法。
