source_id,title,company_name,company_type,job_title,role_type,seniority,responsibilities,requirements,bonus_points,skill_keywords,product_keywords,source_name,source_url,reliability,notes
jd_001,AI产品经理-哈啰AI应用平台方向,上海哈啰普惠科技有限公司,互联网；D轮及以上；1000-9999人,AI产品经理,"大模型应用产品经理, B端AI产品经理",实习；本科；4天/周；3个月,负责哈啰AI应用平台部分模块的产品设计工作，涉及AI应用开发工具链等建设，撰写产品需求文档；参与赋能业务团队的需求收集和分析，为产品设计提供依据；参与项目管理，协助进行产品测试和上线发布，确保产品质量和稳定性；参与产品上线后的产品运营推广、效果回收及功能迭代。,本科及以上学历，对大模型开发链路、大模型Agent搭建链路等相关知识有基础了解，有计算机专业或机器学习专业背景优先；具备良好的沟通能力和团队协作精神，能够与算法工程师、开发人员等各方有效沟通；具有创新思维和解决问题的能力，能够提出有效的产品改进建议；工作积极主动，有责任心；实习3个月以上，每周出勤不少于4天。,计算机专业或机器学习专业背景优先；有AI应用开发工具链、大模型Agent搭建链路相关了解优先。,"AI应用平台, AI应用开发工具链, 大模型, Agent, 机器学习, 产品测试","产品设计, 需求文档, 需求收集, 需求分析, 项目管理, 上线发布, 产品运营, 效果回收, 功能迭代, 跨团队沟通",BOSS直聘截图,,medium,偏B端AI应用平台与工具链建设，强调需求文档、项目管理、上线运营和跨团队协作。
jd_002,AI产品经理实习生-bilibili视觉类AI方向,上海哔哩哔哩科技有限公司,互联网；已上市；10000人以上,AI产品经理实习生,"AIGC产品经理, C端AI产品经理, 视频创作AI产品经理",实习；本科；5天/周；3个月,研究B站UP主从创作到投稿全链路的需求，调研并使用AI技术形成产品解决方案，解决创作者需求痛点；与设计和开发团队沟通，推进项目快速落地执行，对产品的上线进度和反馈结果直接负责；调研AI行业的发展趋势和动态，为团队做好输入。,对B站特色内容有较多了解，能将理解融合到产品工作中；对AIGC技术和市场趋势有一定知识面，可以较好应用在视频创作场景；有极强的好奇心和同理心，高度自驱，抗压能力强；一周实习5天，连续实习6个月以上优先。,连续实习6个月以上优先；熟悉B站内容生态、UP主创作链路、AIGC在视频创作场景中的应用优先。,"视觉类AI, AIGC, AI技术, 视频创作, 内容创作, AI行业趋势","用户调研, 创作者需求, 产品解决方案, 设计沟通, 开发沟通, 项目落地, 上线进度, 反馈结果, 行业调研",BOSS直聘截图,,medium,偏C端内容创作/AIGC产品，目标用户是B站UP主，强调创作到投稿全链路和视频创作场景。
jd_003,AI应用产品实习生-得物AI Coding方向,上海得物信息集团有限公司,电子商务；B轮；1000-9999人,AI应用产品实习生,"AI应用产品经理, AI Coding产品经理, Agent产品经理",实习；硕士；4天/周；6个月,探索基于AI工具实现从产品需求到上线的端到端研发交付路径；参与AI辅助编码、代码生成、调试及优化工作，配合团队完成技术方案的验证与落地；协助搭建AI Coding工具与现有研发流程的衔接，收集并反馈工具使用过程中的问题与改进建议。,本科及以上，计算机、通信工程、电子信息等工科专业，2027届及以后毕业生优先；对AI工具、大语言模型应用及工程化落地有浓厚兴趣，愿意主动学习前沿技术，具备较强学习能力；掌握或了解一门主流编程语言，具备基础代码编写与调试能力，了解基本研发流程；有产品思维，具备良好的沟通能力，认真负责，能积极配合团队完成相关工作。,有使用Claude Code、Codex等coding编程工具的相关经验；熟悉Git版本控制；有Agent开发或部署相关经验；了解大语言模型基本原理，有相关技术探索或实践经历者优先。,"AI Coding, LLM, Agent, AI工具, AI辅助编码, 代码生成, 调试优化, Claude Code, Codex, Git, 编程语言, 工程化落地","端到端交付, 研发流程, 产品需求, 工具使用反馈, 改进建议, 产品思维, 技术方案验证, 产品落地",BOSS直聘截图,,medium,偏AI Coding与研发流程提效，技术要求相对更强，适合作为AI工具/Agent/工程化落地类JD样本。
jd_004,小红书AI产品经理实习生-chatbot方向,行吟信息科技（上海）有限公司,电子商务；D轮及以上；1000-9999人,小红书AI产品经理实习生,"AI产品经理, AI Chatbot产品经理, C端AI产品经理",实习；硕士；5天/周；3个月,参与小红书AI chatbot方向独立产品的设计开发；设计C端应用和B端平台产品原型，确保产品的易用性和用户体验；参与模型数据生产标准制定，基于产品形态设计各场景下模型回复的理想态。,985或同等及以上学历，有大厂相关实习经验的同学优先；对AI产品有浓厚的兴趣和扎实的实践经验，熟悉常用的AI技术和应用；有过模型标注标准定义、机制设计相关经验的优先；具备良好的沟通能力和团队协作精神，能够与产品经理、开发人员等各方有效沟通；具备较强的学习能力和自我驱动力，能够不断学习和提升自己的产品能力；具备良好的审美能力和创新意识，能够为产品设计提出有价值的建议和想法。,大厂相关实习经验优先；模型标注标准定义、机制设计相关经验优先；熟悉常用AI技术和应用优先。,"AI chatbot, AI技术, 模型数据, 模型标注, 模型回复理想态, C端应用, B端平台","产品设计, 原型设计, 用户体验, 易用性, 标准制定, 机制设计, 产品建议, 跨团队沟通, 创新意识",BOSS直聘截图,,medium,偏小红书AI Chatbot与模型回复标准建设，兼具C端应用和B端平台原型设计。
jd_005,ai产品实习生-阶跃星辰C端AI产品方向,上海阶跃星辰智能科技股份有限公司,人工智能；500-999人,ai产品实习生,"C端AI产品经理, 大模型应用产品经理",实习；本科；5天/周；3个月,参与C端产品的功能策划；深入调研国内外AI创新产品和应用，从用户视角出发，思考用户痛点和使用场景，拆解用户产品使用路径；协助完成C端产品定义、需求撰写、开发沟通等。,对AI充满热情，希望在AI行业发展；有较强学习能力和好奇心，喜欢体验各种新的产品，有把东西做到极致的心态；实习周期3个月以上，每周到岗不低于5天，尽快入职优先，base上海；有出色的逻辑思维，发现问题并思考解决问题的能力；较强的沟通能力、高度责任心和团队合作精神；有产品/运营实习经历优先，不限制专业。,有产品或运营实习经历优先；尽快入职优先；对国内外AI创新产品和应用有调研经验优先。,"AI创新产品, AI应用, C端产品, 用户路径","功能策划, 用户调研, 用户视角, 用户痛点, 使用场景, 产品使用路径, 产品定义, 需求撰写, 开发沟通, 逻辑思维",BOSS直聘截图,,medium,偏早期0-1 C端AI产品实习，强调调研、用户路径拆解、需求撰写和开发沟通。
jd_006,AI产品经理实习生-星环大模型运营平台方向,星环信息科技（上海）股份有限公司,大数据；已上市；1000-9999人,AI产品经理实习生（MJ000502）,"AI平台产品经理, 大模型运营平台产品经理",实习；学历不限；3天/周；5个月,追踪大模型运营平台行业发展趋势，输出竞品分析报告；亲自实践产品开发全流程，从需求收集、需求分析、产品设计到跟踪产品落地；负责产品文档（如用户手册、运维手册、FAQ等）的撰写及产品Demo。,对人工智能/大模型的基本理论和知识有一定理解和认识，对AI行业有浓厚兴趣和好奇心；能够进行需求分析，使用过Axure设计过原型图；积极主动，具备快速学习能力及抗压能力，有团队合作精神；英语读写能力良好；每周至少实习3天，至少实习3个月。,使用过Axure设计原型图优先；有AI/大模型理论基础、竞品分析和产品文档经验优先。,"大模型, 人工智能, 大模型运营平台, Axure, 产品Demo, FAQ, 用户手册, 运维手册","行业趋势追踪, 竞品分析, 需求收集, 需求分析, 产品设计, 产品落地, 产品文档, 原型设计, 项目跟进",BOSS直聘截图,,medium,偏AI平台/大模型运营平台产品，强调竞品分析、需求到落地全流程和产品文档。
jd_007,AI产品经理实习生-收钱吧商家AI工具方向,上海收钱吧互联网科技股份有限公司,互联网金融；C轮；1000-9999人,AI产品经理实习生 J11382,"AI应用产品经理, AI工具产品经理, 数据驱动AI产品经理",实习；本科；4天/周；3个月,协助AI产品落地，制定商家AI工具的推广计划，跟踪用户使用数据，收集反馈推动产品迭代，提升渗透率和活跃度；跨团队协作，输出清晰的需求文档，协调产品、技术、业务团队对齐目标，跟进项目上线节奏；进行AI效果评测，设计AI输出质量评测方案，制定准确率、相关性等指标，搭建测试集标注case，定期输出评测报告，推动模型和Prompt优化；进行数据分析，用SQL提取用户行为数据，搭建数据看板，输出数据报告，驱动产品决策；原型快速验证，用Cursor、v0等AI编程工具快速搭建功能原型或内部小工具，降低对技术团队的依赖。,本科及以上在读，计算机、数据、信管、商科相关专业，能快速到岗，实习3个月以上，每周到岗4天以上；逻辑清晰，能写清楚需求文档，有用户同理心，能从用户角度发现问题；会用ChatGPT/Claude等大模型，会写Prompt，对AI产品感兴趣；至少会一种数据分析工具（Excel/SQL/Python任选）。,有AI产品、数据分析相关实习经历；会用Cursor/v0等AI工具搭过原型或小工具；了解LLM评测方法，有RAG/Agent等相关概念基础；用过Coze/Dify/n8n等搭建过AI工作流；参与过LLM benchmark或模型对比测试。,"商家AI工具, ChatGPT, Claude, Prompt, LLM评测, RAG, Agent, Coze, Dify, n8n, Cursor, v0, SQL, Excel, Python, 数据看板, AI效果评测","产品落地, 推广计划, 用户使用数据, 反馈收集, 产品迭代, 渗透率, 活跃度, 需求文档, 跨团队协作, 上线节奏, 质量评测方案, 测试集标注, 原型验证, 数据驱动决策",BOSS直聘截图,,medium,高价值JD样本，覆盖AI产品落地、LLM评测、Prompt优化、数据分析、原型验证和AI工作流。
jd_008,AI产品经理实习生-森雾AI产品落地方向,广州森雾信息科技服务有限公司,移动互联网；1000-9999人,AI产品经理实习生,"AI产品经理, 大模型应用产品经理, AI工具产品经理",实习；本科；经验不限；4-7K,需求梳理与文档支持：协助产品经理对接算法工程师，梳理业务场景中的产品需求，拆解预研项目与落地项目的功能要点，输出需求清单、用户故事及简化版PRD文档；产品设计辅助：参与产品原型设计（Axure/Figma）与交互流程优化，针对AI功能模块（如Prompt设计、对话逻辑、模型输出效果）提出体验优化建议，有审美优势者可深度参与界面细节打磨；技术协同与项目推进：作为产品与算法团队的沟通桥梁，跟进需求开发进度，参与日常站会与评审会，记录会议纪要并跟踪任务闭环，确保项目节点落地；调研与数据分析：协助开展行业竞品调研、AI技术趋势跟踪，输出结构化分析报告，参与产品上线后的数据监控与用户反馈收集，通过基础数据分析为迭代提供支持；AI工具实践：运用vibe coding相关工具（如Cursor、GitHub Copilot等）辅助完成原型验证、简单功能落地或文档自动化生成，加速产品迭代效率。,专业不限，理工科、设计类相关专业优先，本科及以上学历在读，能保证每周4天及以上实习时长，持续3个月及以上，可尽快到岗；动手能力与学习能力突出，逻辑清晰，具备良好的书面/口头表达能力与团队协作意识；有大厂产品经理实习经验或掌握产品设计基础（如PRD撰写、原型设计），能独立完成简单功能的需求梳理与设计；对AI领域（大模型、智能体、多模态等）有浓厚兴趣，持续关注行业动态；有vibe coding项目实践经验（如用AI工具搭建Demo、完成前端快速开发）者优先。,熟悉Python或AI开发工具（LangChain、Coze等）；具备基础数据分析能力（Pandas、SQL）；有审美意识，能辅助优化产品交互/视觉体验。,"大模型, 智能体, 多模态, Prompt设计, 对话逻辑, 模型输出效果, Cursor, GitHub Copilot, vibe coding, LangChain, Coze, Python, Pandas, SQL, Axure, Figma","需求梳理, 需求清单, 用户故事, PRD, 原型设计, 交互流程优化, 体验优化, 项目推进, 竞品调研, 技术趋势跟踪, 数据监控, 用户反馈, 任务闭环, 产品迭代",BOSS直聘截图,,medium,适合作为AI PM入门型JD样本，覆盖需求文档、原型、技术协同、竞品调研、数据分析和vibe coding。
jd_009,AI产品经理实习生-九方智投知识库方向,上海九方云智能科技有限公司,证券/期货；已上市；1000-9999人,AI产品经理实习生（知识库方向）,"RAG产品经理, 知识库产品经理, 智能问答产品经理",实习；硕士；4天/周；3个月,参与AI知识库内容的分类、打标与标签体系建设；参与知识库文档的梳理、整理与优化，确保内容结构清晰、准确规范；协助完成产品测试、操作手册与用户反馈收集；完成产品经理交办的其他日常事务性工作。,研究生学历（硕士在读），计算机、信息管理、金融工程、人工智能等相关专业优先；熟悉Office办公软件（Word、Excel、PPT）；逻辑清晰，具备较强的信息归纳能力；细致耐心，责任心强，能够高效处理重复性和多任务并行的工作；对AI、大模型、知识图谱、智能搜索等相关领域有一定了解者优先；暑期可保证每周出勤4-5天，非暑期至少3天以上到岗实习，实习周期不少于3个月；能尽快入职者优先考虑。,计算机、信息管理、金融工程、人工智能等相关专业优先；对AI、大模型、知识图谱、智能搜索等有了解者优先；能尽快入职优先。,"AI知识库, 内容分类, 打标, 标签体系, 知识库文档, 知识图谱, 智能搜索, 大模型, Office","知识库建设, 内容结构化, 文档梳理, 文档优化, 产品测试, 操作手册, 用户反馈收集, 信息归纳, 多任务处理",BOSS直聘截图,,medium,非常贴近本项目知识库/RAG方向，适合标注为知识库产品、智能问答和RAG产品经理样本。
jd_010,AIGC产品实习生-音频创作工具方向,上海喜马拉雅科技有限公司,移动互联网 / D轮及以上 / 1000-9999人,AIGC产品实习生,"AIGC产品经理, 音频AI产品经理, C端AI产品经理",实习,1. 参与语音大模型应用产品开发，对声音有一定感知度；2. 参与AIGC音频创作工具产品的设计，完成产品需求设计；3. 理解目标用户的需求，参与用户研究与调研，设计改进方案；4. 负责编写需求及交互设计文档，推进落实与验证，做好需求文档的版本控制；5. 维护用户线上反馈，根据用户体验和研究的结果对产品进行持续优化；6. 配合产品、研发、测试，完成产品迭代适配、验收、发布，并对产品用户体验负责。,1. 人机交互、心理学、计算机等相关专业本科及以上学历；2. 熟悉Sketch、Axure、PS、AI等相关软件并能够独立完成可交互的原型；3. 了解产品设计相关流程，包括功能分析、用户角色分析、原型设计、界面开发、易用性测试等；4. 了解各种移动端控件和布局的形式及设计规范；5. 良好的沟通能力和团队协作精神，保证产品顺利上线；6. 爱好听书的同学优先考虑。,爱好听书者优先；熟悉交互设计和音频内容产品者优先。,"语音大模型, AIGC音频创作, Sketch, Axure, PS, AI, 可交互原型, 移动端控件, 易用性测试","产品需求设计, 用户研究, 用户调研, 改进方案, 需求文档, 交互设计文档, 版本控制, 用户反馈, 产品持续优化, 产品验收, 产品发布, 用户体验",BOSS直聘截图,,medium,偏AIGC音频创作和C端内容工具方向，强调交互原型、用户研究和产品上线体验。
