source_id,title,capability_name,level_l1,level_l2,level_l3,level_l4,level_l5,diagnosis_rules,improvement_suggestions,role_type,ai_topic,career_topic,reliability,difficulty,notes
cap_001,RAG 产品理解能力,RAG产品理解,知道 RAG 是检索增强生成，能说明它用于让大模型基于外部知识库回答问题。,能解释 RAG 基础流程，包括资料采集与清洗、Chunk 切分、Embedding、向量检索、可选 Rerank、Prompt 拼接、LLM 生成和引用展示。,能结合项目设计知识库结构、检索问答链路、引用来源展示、无法回答兜底和用户反馈机制。,能设计 RAG 产品评估指标，如 Context Precision、Context Recall、Answer Relevancy、Faithfulness、引用点击率、用户有用率，并判断问题出在知识库、检索还是生成。,能根据不同业务场景选择 RAG 架构、检索策略、权限机制、评估体系和迭代路线，并能指导他人完成方案设计。,用户只能说 RAG 是知识库问答通常为 L1；能讲清完整技术链路为 L2；能结合自己的项目讲产品模块为 L3；能讲评估指标、幻觉控制和反馈闭环为 L4；能做场景取舍和整体方案设计为 L5。,先掌握 RAG 基本流程，再在自己的项目中补充知识库结构、引用溯源、反馈机制和评估指标；重点准备 RAG 与普通 Chatbot 的区别、如何降低幻觉、如何评估 RAG 效果。,"AI产品经理,RAG产品经理,知识库产品经理,AI SaaS产品经理","RAG,Embedding,Vector DB,Rerank,引用溯源","能力诊断,项目包装,面试准备,知识问答",high,中级,P0核心能力；支撑RAG知识库项目、AI求职助手项目和企业知识库产品岗位。
cap_002,Agent 产品理解能力,Agent产品理解,知道 Agent 是智能体，能说明它不只是普通聊天机器人，而是面向任务完成的 AI 系统。,能解释 Agent 的基础组成，包括目标、任务规划、工具调用、状态管理、执行过程、结果反馈和异常处理。,能结合具体业务场景设计 Agent 的任务流程、工具调用链路、用户确认节点、执行状态展示和失败兜底。,能设计 Agent 评估指标，如任务完成率、工具调用成功率、人工接管率、执行时长、错误率、用户满意度和成本。,能判断某个场景适合 Agent、Workflow 还是普通 Chatbot，并能设计多 Agent 协作、权限边界、成本控制和上线迭代方案。,用户只会说 Agent 是智能体通常为 L1；能区分 Agent/Chatbot/Workflow 为 L2；能设计工具调用和任务流程为 L3；能讲评估、异常兜底和安全边界为 L4；能做产品选型和完整方案为 L5。,先补 Agent 与 Chatbot、Workflow 的区别，再学习 Tool Use、Function Calling、Memory 和 Agent 评估指标；用 Coze/Dify 等工具搭一个简单 Agent，并记录任务流程和失败兜底设计。,"AI产品经理,Agent产品经理,AI平台产品经理,大模型应用产品经理","Agent,Tool Use,Function Calling,Memory,Workflow,Multi-Agent","能力诊断,面试准备,项目包装,知识问答",high,中级,P0核心能力；JD中Agent、Workflow、Function Calling、低代码智能体工具多次出现。
cap_003,Prompt 设计能力,Prompt设计,知道 Prompt 是给大模型的指令，能说明提示词会影响输出质量。,能解释角色设定、任务说明、输出格式约束、Few-shot 示例、禁止编造和引用来源要求等常见 Prompt 方法。,能在项目中设计结构化 Prompt 模板，用于 JD 解析、简历生成、面试题生成、知识问答等固定任务。,能基于测试样例和用户反馈评估 Prompt 效果，持续优化输出稳定性、准确性、格式一致性和风险控制。,能把 Prompt 模板工程化，形成可复用、可配置、可评估的 Prompt 体系，并与 RAG、Agent、Workflow 协同设计。,用户只会手写简单提示词为 L1；能说出常见 Prompt 方法为 L2；能为具体产品场景设计模板为 L3；能做效果评估与迭代为 L4；能设计 Prompt 管理体系为 L5。,从结构化输出、角色设定和约束条件开始练习；为你的RAG助手分别设计JD解析、项目包装、面试准备Prompt，并用固定测试集评估回答稳定性。,"AI产品经理,大模型应用产品经理,Agent产品经理,AIGC产品经理","Prompt,Prompt Engineering,Few-shot,结构化输出","能力诊断,项目包装,面试准备,知识问答",high,入门,P0核心能力；适合初级/实习AI PM快速展示AI产品理解。
cap_004,AI 产品评估能力,AI产品评估,知道 AI 产品不能只看回答是否流畅，还要看是否解决用户问题。,能区分产品层指标和 AI 能力层指标，如任务完成率、用户满意度、Answer Relevancy、Faithfulness、Context Precision、Context Recall 等。,能为 RAG、Agent、Copilot 等项目设计基础评估指标和用户反馈入口。,能结合离线评估、线上行为数据和用户反馈定位问题，判断问题来自知识库、检索、Prompt、模型或交互流程。,能建立持续评估体系，包括测试集、Benchmark、A/B 测试、监控看板、反馈闭环和迭代优先级机制。,用户只说准确率或满意度为 L1-L2；能按检索/生成/体验拆指标为 L3；能用指标定位问题并设计迭代为 L4；能建立完整评估体系为 L5。,先掌握RAG和Agent常见指标，再为自己的RAG求职助手设计评估表：检索命中率、回答有用率、引用点击率、用户反馈率、问题解决率。,"AI产品经理,RAG产品经理,Agent产品经理,AI SaaS产品经理","AI产品评估,RAG评估,Agent评估,Benchmark","能力诊断,面试准备,项目包装",high,中级,P0核心能力；能显著提升项目包装和面试表达质量。
cap_005,AI 工具与工作流搭建能力,AI工具与工作流搭建,听说过 Dify、Coze、n8n、Cursor、Claude Code 等工具，知道它们可用于搭建 AI 应用或提升效率。,能说明不同工具的大致用途，如 Dify/Coze 用于智能体或工作流，n8n 用于自动化，Cursor 用于 AI Coding。,能用至少一种低代码或 AI 工具搭建可演示的工作流、Agent 或 RAG 原型。,能根据业务需求选择合适工具，并设计工具链、数据流、触发条件、异常处理和人工确认节点。,能把工具原型转化为可产品化方案，考虑权限、成本、稳定性、监控、团队协作和后续工程化迁移。,只听过工具名为 L1；能解释工具用途为 L2；能搭出可运行原型为 L3；能做工具选型和流程设计为 L4；能考虑产品化和工程化为 L5。,先选Dify或Coze搭一个JD解析/面试准备Agent，再用n8n或API理解自动化流程；记录工具选型理由、流程图、异常兜底和效果评估。,"AI产品经理,Agent产品经理,AI工具产品经理,AI工作流产品经理","Dify,Coze,n8n,Workflow,Agent,AI Coding","能力诊断,项目包装,面试准备",medium,入门,P1能力；对实习生作品集很有帮助，但不能替代产品基本功。
cap_006,产品需求分析能力,产品需求分析,知道需求分析要关注用户、场景和痛点，但表达还比较泛。,能描述目标用户、使用场景、核心痛点和现有解决方案的问题。,能将用户问题转化为产品目标、功能范围、优先级和MVP方案。,能结合业务价值、技术可行性、用户收益和成本约束做需求取舍，并形成需求文档。,能系统化做用户研究、竞品分析、需求分层、路线图规划和跨团队需求评审。,只能描述功能想法为 L1；能讲用户痛点和场景为 L2；能定义MVP和优先级为 L3；能做价值/成本/可行性取舍为 L4；能形成系统方法论为 L5。,用你的RAG求职助手项目练习：明确目标用户、五个核心场景、MVP不做什么、为什么先做JD解析和项目包装；将这些写成需求分析文档。,"AI产品经理,AI产品实习生,AI SaaS产品经理,C端AI产品经理",None,"能力诊断,项目包装,JD解析",high,入门,P0产品基本功；所有AI PM岗位都需要。
cap_007,PRD / 原型 / 交互表达能力,PRD原型交互表达,知道 PRD、原型和流程图是产品经理常用交付物。,能写出基础功能说明、页面结构、用户流程和简单交互逻辑。,能围绕一个AI产品模块输出较完整PRD，包括用户目标、功能说明、输入输出、异常状态、权限和埋点。,能把AI能力的不确定性转化为清晰交互设计，如加载状态、引用展示、无法回答、人工接管、反馈入口和结果确认。,能建立复杂产品的PRD体系、设计规范、组件复用和跨研发协作机制。,只知道文档名为 L1；能写基础页面和流程为 L2；能写完整AI模块PRD为 L3；能处理AI异常和信任交互为 L4；能搭建文档和设计规范为 L5。,为RAG助手补一份PRD：五个入口、输入字段、输出结构、引用来源、错误兜底、用户反馈；同时画出检索问答流程图和页面原型。,"AI产品经理,AI产品实习生,AI SaaS产品经理,B端AI产品经理","RAG,Agent,Workflow","能力诊断,项目包装,简历,面试准备",high,入门,P0产品落地能力；JD中经常出现PRD、原型、流程图、产品文档。
cap_008,数据分析能力,数据分析,知道数据分析对产品迭代有帮助，了解基础指标概念。,会使用 Excel、SQL 或 Python 做基础数据清洗、统计和可视化。,能为产品功能设计指标，如使用率、留存、转化、任务完成率、用户满意度、反馈率，并能解释指标变化。,能结合用户行为数据、AI评估指标和业务目标定位问题，提出迭代方案。,能设计产品指标体系、实验方案、数据看板和持续监控机制，推动数据驱动决策。,只会说数据重要为 L1；会SQL/Python基础分析为 L2；能设计产品指标为 L3；能用数据定位问题为 L4；能建立指标体系和实验机制为 L5。,你有经济统计背景和Python/SQL基础，应重点把这些能力转化为AI产品指标设计表达；为RAG项目设计用户反馈率、回答有用率、引用点击率、检索命中率等指标。,"AI产品经理,AI产品实习生,数据驱动AI产品经理,AI SaaS产品经理","SQL,Python,AI产品评估,Benchmark","能力诊断,简历,面试准备",high,入门,P1能力；对经济统计专业用户有明显优势。
cap_009,技术协作与 API 理解能力,技术协作API理解,知道AI产品通常需要模型API、后端接口、数据库和前端页面协作。,能理解接口输入输出、鉴权、错误码、响应延迟、调用成本和基本数据流。,能在PRD中描述AI功能的输入、输出、接口依赖、调用时机、异常返回和日志记录需求。,能与研发讨论技术方案取舍，如本地/云端模型、同步/异步调用、缓存、流式输出、权限和监控。,能从产品目标出发设计端到端技术协作方案，并协调算法、后端、前端、设计和运营共同落地。,只知道API这个名词为 L1；能讲输入输出和基本调用为 L2；能写进PRD为 L3；能参与技术方案取舍为 L4；能协调完整技术落地为 L5。,理解你的RAG项目链路：前端问题输入、后端API、Embedding、Qdrant检索、LLM生成、引用返回；用流程图说明每一步的数据输入输出。,"AI产品经理,AI SaaS产品经理,AI平台产品经理,B端AI产品经理","LLM API,API/Webhook,RAG,Agent,Vector DB","能力诊断,项目包装,面试准备",high,中级,P1能力；帮助产品经理与研发高效沟通。
cap_010,项目推进与落地能力,项目推进落地,知道产品经理需要推动需求从想法到上线。,能描述基础项目流程，包括需求分析、方案设计、研发对接、测试验收和迭代。,能在自己的项目中说明负责范围、关键节点、遇到的问题和如何推动解决。,能管理跨团队协作、优先级冲突、进度风险、验收标准和上线后的反馈迭代。,能主导复杂AI产品从0到1落地，建立版本节奏、指标追踪、风险控制和复盘机制。,只会说参与项目为 L1；能讲流程为 L2；能讲自己的责任和问题解决为 L3；能讲跨团队协作和风险管理为 L4；能主导完整落地为 L5。,整理你的RAG助手项目时间线：需求分析、知识库设计、脚本开发、向量库接入、检索测试、LLM接入；记录每一步的问题、决策和结果。,"AI产品经理,AI产品实习生,AI SaaS产品经理,Agent产品经理","RAG,Agent,Workflow","能力诊断,项目包装,面试准备,简历",high,入门,P0能力；JD中频繁出现项目推进、研发协作、测试上线、版本迭代。
